sent,cluster,x,y,z
Cô giáo đang ăn kem.,2,-5.45362,-2.7872822,-3.9521863
Cô giáo đang ăn bánh mì.,2,-6.913651,-1.2729558,-3.7024856
Chị gái đang thử món thịt dê.,2,-4.696048,-2.6258464,1.816644
Một anh trai đang cưỡi ngựa.,0,-0.6635937,1.0923826,6.4050355
Kị binh đang đi tuần.,0,-1.1956456,-0.42263162,7.2805653
Một vụ tai nạn thảm khốc vừa xảy ra.,1,1.9486533,5.9912386,-1.5159868
Đã có ít nhất hai người chết trong vụ xe khách rơi xuống vực.,1,0.65874124,5.6799817,-2.7671413
Một con khỉ đang diễn xiếc.,3,5.951978,-5.0480285,-1.1233608
Một người đàn ông trong bộ đồ tinh tinh đang làm trò.,3,7.1959476,-4.8555756,-1.6060753
Lũ quét đột ngột gây thiệt hại cho ít nhất 3 tỉnh miền núi,4,3.1672304,4.2487144,-0.83500445
